names            s            l            betx         bety         dx           dy          
MO.31R8.B1         24.830e+03  320.000e-03   30.066      178.776      995.865e-03  325.888e-03
MO.32R8.B1         24.884e+03  320.000e-03  175.443       33.586        2.206      141.428e-03
MO.33R8.B1         24.937e+03  320.000e-03   30.066      178.776        1.072      136.903e-03
MO.34R8.B1         24.991e+03  320.000e-03  175.443       33.586        2.096      -46.538e-03
MO.33L1.B1         25.044e+03  320.000e-03   30.066      178.776      944.060e-03 -313.947e-03
MO.32L1.B1         25.098e+03  320.000e-03  175.443       33.586        1.777     -145.487e-03
MO.31L1.B1         25.151e+03  320.000e-03   30.067      178.775      889.641e-03 -164.286e-03
MO.30L1.B1         25.204e+03  320.000e-03  175.443       33.586        1.941       33.848e-03
MO.29L1.B1         25.258e+03  320.000e-03   30.066      178.776        1.027      299.617e-03
MO.28L1.B1         25.311e+03  320.000e-03  175.443       33.586        2.232      148.439e-03
MO.26L1.B1         25.418e+03  320.000e-03  175.443       33.586        2.019      -20.901e-03
MO.25L1.B1         25.472e+03  320.000e-03   30.066      178.776      915.604e-03 -283.008e-03
MO.24L1.B1         25.525e+03  320.000e-03  175.443       33.586        1.764     -150.262e-03
MO.22L1.B1         25.632e+03  320.000e-03  175.443       33.586        2.020        7.794e-03
