        Frequency / GHz                Y140mm/imaginary
              0.32150913                      -1.0233241
              0.32202109                     -0.94048143
              0.32253304                     -0.85560879
                0.323045                     -0.77262708
              0.32355696                      -0.6953808
              0.32406892                     -0.62746143
              0.32458087                       -0.572042
              0.32509283                     -0.53173036
              0.32560479                     -0.50844798
              0.32611674                     -0.50333996
               0.3266287                     -0.51672037
              0.32714066                     -0.54805557
              0.32765262                     -0.59598637
              0.32816457                     -0.65838813
              0.32867653                     -0.73246613
              0.32918849                     -0.81488195
              0.32970045                     -0.90190513
               0.3302124                      -0.9895833
              0.33072436                      -1.0739229
              0.33123632                      -1.1510722
              0.33174827                      -1.2174987
              0.33226023                       -1.270152
              0.33277219                      -1.3066052
              0.33328415                      -1.3251681
               0.3337961                      -1.3249669
              0.33430806                      -1.3059866
              0.33482002                      -1.2690745
              0.33533197                      -1.2159033
              0.33584393                      -1.1488976
              0.33635589                       -1.071124
              0.33686785                     -0.98615292
               0.3373798                     -0.89789597
              0.33789176                     -0.81042752
              0.33840372                     -0.72779816
              0.33891568                      -0.6538488
              0.33942763                     -0.59203367
              0.33993959                     -0.54526064
              0.34045155                     -0.51575604
               0.3409635                     -0.50496041
              0.34147546                     -0.51345984
              0.34198742                     -0.54095651
              0.34249938                     -0.58627946
              0.34301133                     -0.64743569
              0.34352329                     -0.72169893
              0.34403525                      -0.8057325
               0.3445472                     -0.89574048
              0.34505916                     -0.98764049
              0.34557112                      -1.0772501
              0.34608308                      -1.1604786
              0.34659503                       -1.233515
              0.34710699                      -1.2930036
              0.34761895                      -1.3362002
              0.34813091                      -1.3610994
              0.34864286                      -1.3665294
              0.34915482                      -1.3522086
              0.34966678                      -1.3187613
              0.35017873                      -1.2676924
              0.35069069                       -1.201321
              0.35120265                      -1.1226767
              0.35171461                      -1.0353631
              0.35222656                     -0.94339417
              0.35273852                     -0.85101156
              0.35325048                     -0.76249048
              0.35376243                     -0.68194366
              0.35427439                     -0.61313196
              0.35478635                     -0.55929049
              0.35529831                     -0.52297824
              0.35581026                      -0.5059583
              0.35632222                     -0.50911403
              0.35683418                     -0.53240547
              0.35734614                      -0.5748679
              0.35785809                     -0.63465282
              0.35837005                     -0.70910966
              0.35888201                     -0.79490464
              0.35939396                     -0.88817133
              0.35990592                     -0.98468627
              0.36041788                      -1.0800616
              0.36092984                      -1.1699458
              0.36144179                      -1.2502238
              0.36195375                      -1.3172066
              0.36246571                      -1.3678025
              0.36297766                      -1.3996609
              0.36348962                       -1.411283
              0.36400158                      -1.4020941
              0.36451354                      -1.3724733
              0.36502549                      -1.3237392
              0.36553745                      -1.2580938
              0.36604941                      -1.1785237
              0.36656136                      -1.0886668
              0.36707332                     -0.99264722
              0.36758528                     -0.89488778
              0.36809724                     -0.79990836
              0.36860919                      -0.7121185
              0.36912115                     -0.63561455
              0.36963311                     -0.57399038
              0.37014507                     -0.53017036
              0.37065702                     -0.50627255
              0.37116898                     -0.50350822
              0.37168094                     -0.52212273
              0.37219289                     -0.56138046
              0.37270485                     -0.61959472
              0.37321681                     -0.69420146
              0.37372877                     -0.78187354
              0.37424072                     -0.87867048
              0.37475268                     -0.98021696
              0.37526464                       -1.081902
              0.37577659                      -1.1790899
              0.37628855                      -1.2673328
              0.37680051                      -1.3425758
              0.37731247                      -1.4013448
              0.37782442                      -1.4409086
              0.37833638                      -1.4594068
              0.37884834                      -1.4559394
               0.3793603                      -1.4306118
              0.37987225                      -1.3845341
              0.38038421                      -1.3197743
              0.38089617                      -1.2392674
              0.38140812                       -1.146684
              0.38192008                      -1.0462649
              0.38243204                     -0.94262869
                0.382944                     -0.84056131
              0.38345595                     -0.74479678
              0.38396791                     -0.65979965
              0.38447987                     -0.58955879
              0.38499182                     -0.53740214
              0.38550378                     -0.50584108
              0.38601574                     -0.49645154
               0.3865277                     -0.50979766
              0.38703965                     -0.54540149
              0.38755161                     -0.60176047
              0.38806357                     -0.67641202
              0.38857553                     -0.76604247
              0.38908748                     -0.86663558
              0.38959944                     -0.97365394
               0.3901114                      -1.0822451
              0.39062335                      -1.1874632
              0.39113531                      -1.2844955
              0.39164727                      -1.3688843
              0.39215923                      -1.4367329
              0.39267118                      -1.4848878
              0.39318314                       -1.511086
               0.3936951                      -1.5140634
              0.39420705                      -1.4936175
              0.39471901                       -1.450621
              0.39523097                      -1.3869869
              0.39574293                      -1.3055851
